Pref,2021/07/01,2021/07/02,2021/07/03,2021/07/04,2021/07/05,2021/07/06,2021/07/07,2021/07/08,2021/07/09,2021/07/10,2021/07/11,2021/07/12,2021/07/13,2021/07/14,2021/07/15,2021/07/16,2021/07/17,2021/07/18,2021/07/19,2021/07/20,2021/07/21,2021/07/22,2021/07/23,2021/07/24,2021/07/25,2021/07/26,2021/07/27,2021/07/28,2021/07/29,2021/07/30,2021/07/31,2021/08/01,2021/08/02,2021/08/03,2021/08/04,2021/08/05,2021/08/06,2021/08/07,2021/08/08,2021/08/09,2021/08/10,2021/08/11,2021/08/12,2021/08/13,2021/08/14,2021/08/15,2021/08/16,2021/08/17,2021/08/18,2021/08/19,2021/08/20,2021/08/21,2021/08/22,2021/08/23,2021/08/24,2021/08/25,2021/08/26,2021/08/27,2021/08/28,2021/08/29,2021/08/30,2021/08/31,2021/09/01,2021/09/02,2021/09/03,2021/09/04,2021/09/05,2021/09/06,2021/09/07,2021/09/08,2021/09/09,2021/09/10,2021/09/11,2021/09/12,2021/09/13,2021/09/14,2021/09/15,2021/09/16,2021/09/17,2021/09/18,2021/09/19,2021/09/20,2021/09/21,2021/09/22,2021/09/23,2021/09/24,2021/09/25,2021/09/26,2021/09/27,2021/09/28,2021/09/29,2021/09/30,2021/10/01,2021/10/02,2021/10/03,2021/10/04,2021/10/05,2021/10/06,2021/10/07,2021/10/08,2021/10/09,2021/10/10,2021/10/11,2021/10/12,2021/10/13,2021/10/14,2021/10/15,2021/10/16,2021/10/17,2021/10/18,2021/10/19,2021/10/20,2021/10/21,2021/10/22,2021/10/23,2021/10/24,2021/10/25,2021/10/26,2021/10/27,2021/10/28,2021/10/29,2021/10/30,2021/10/31,2021/11/01,2021/11/02,2021/11/03,2021/11/04,2021/11/05,2021/11/06,2021/11/07,2021/11/08,2021/11/09,2021/11/10,2021/11/11,2021/11/12,2021/11/13,2021/11/14,2021/11/15,2021/11/16,2021/11/17,2021/11/18,2021/11/19,2021/11/20,2021/11/21,2021/11/22,2021/11/23,2021/11/24,2021/11/25,2021/11/26,2021/11/27,2021/11/28,2021/11/29,2021/11/30,2021/12/01,2021/12/02,2021/12/03,2021/12/04,2021/12/05,2021/12/06,2021/12/07,2021/12/08,2021/12/09,2021/12/10,2021/12/11,2021/12/12,2021/12/13,2021/12/14,2021/12/15,2021/12/16,2021/12/17,2021/12/18,2021/12/19,2021/12/20,2021/12/21,2021/12/22,2021/12/23,2021/12/24,2021/12/25,2021/12/26,2021/12/27,2021/12/28,2021/12/29,2021/12/30,2021/12/31
29,159858,168328,174832,182032,191394,200779,210744,219465,229700,237739,247345,259861,270439,281244,289537,299857,306781,314054,325155,335351,344784,349774,353588,361933,372877,384612,395578,405973,415658,425229,434453,441301,447982,455774,464388,472733,480640,489463,497556,499491,506202,512606,514700,516718,521250,525659,530753,536537,542316,546884,552303,559094,567843,573442,578121,583143,587582,592923,600630,607658,610022,614292,618207,621911,624734,630519,636370,641163,646288,651351,656580,662118,670352,677674,682835,688574,694364,701470,707790,715208,724899,728576,736370,743859,748454,755591,767185,778201,784923,791124,796489,800898,807080,817518,826022,832052,837931,842701,847587,853894,865597,872595,874051,878771,883021,884586,888577,895846,902168,905289,908634,912082,916156,919971,927718,933975,936669,939040,941273,943980,946686,951830,955883,957816,959413,959853,961693,963561,966920,968784,970134,971238,972118,972843,973942,976013,976963,977905,978832,979539,980182,981094,982589,983179,983827,984160,984654,985209,986208,987624,988756,989508,990312,990560,990770,990937,991741,991764,991840,991965,992066,992142,992325,992734,992824,992942,993018,993195,993300,993539,993816,993828,993977,994050,994294,994485,994654,995391,995394,995476,995529,995555,995555,995555
30,166002,171178,176144,179224,183633,188025,193077,197741,202146,207354,213890,217794,222754,227522,231435,235995,241711,248211,252596,258448,263235,264324,265016,272859,281662,287810,295424,302169,308853,316371,324955,329347,335850,343083,349674,356907,364434,373693,378338,378943,385331,391330,393206,395840,399575,402584,407085,411907,417151,421479,425406,432494,437995,442212,446832,451509,455169,459711,467600,475722,476615,480666,484310,487010,488740,492286,495380,498718,503446,507431,510166,514674,523916,530129,533755,537630,541983,545465,549226,555469,559048,559418,563997,568169,568580,573284,580944,585588,588007,590556,592692,595062,596942,600361,602953,604543,606173,607840,609358,611269,614834,616948,617102,618816,621058,621289,623256,627795,629794,631956,633874,635920,637226,639423,644117,645717,647383,648635,650029,651171,653074,656148,657194,658162,659117,659130,660235,661299,663185,663841,664483,665092,665742,666073,666577,667288,667878,668178,668552,668890,669144,669608,670070,670385,670571,670963,671020,671196,671536,671879,672163,672399,672587,672684,672785,673193,673622,673707,673859,673993,674071,674322,674635,674906,674974,675031,675042,675130,675177,675372,675684,675839,675901,675943,675991,676071,676225,676424,676434,676543,676595,676623,676623,676623
31,80463,83449,86327,88777,90880,93139,95270,97670,99665,102095,104607,106513,108553,111134,113305,115102,118471,122139,124740,127152,129439,130244,130748,135606,140285,143608,146848,150178,153604,156848,163685,168961,172288,175744,178884,182357,186003,191552,195333,195788,199050,202090,203591,204430,206542,209013,210846,213333,216108,219067,221407,226275,230588,232718,234521,236802,239704,241793,246569,250854,251134,253193,255260,257890,258529,260837,262687,265222,267624,270568,273029,275574,279892,282926,285371,287835,289850,291851,294365,297917,301233,301432,304033,306251,306893,309778,314377,317445,319241,320986,322299,324028,325620,329795,333512,334911,336619,338059,340076,342191,346665,350900,351254,352752,354483,354911,356020,359139,361176,362533,364047,365475,367106,368430,371339,372900,373854,374733,375652,376577,377642,379004,379577,380151,380625,380631,381189,381784,382442,383263,383505,383881,384065,384247,384468,385240,386269,386398,386564,386707,386918,387228,387865,388334,388414,388419,388463,388800,389002,389418,389798,389895,390079,390256,390399,390541,390790,390995,391107,391251,391392,391499,391604,391735,391995,392040,392042,392106,392194,392407,392527,392890,392928,392967,392993,393080,393158,393361,393474,393516,393557,393587,393587,393587
32,91806,96919,100301,101744,105701,110158,114386,118507,122812,125964,127971,131152,134166,137423,140394,143796,146391,149813,152929,155701,159224,159840,160414,164036,168890,173074,177167,181299,185915,191188,195439,198685,202868,207914,212836,218187,224306,229775,234370,235298,240224,245647,248051,249179,250862,252100,255278,259263,263874,268060,271643,275022,279779,282748,285547,288923,291442,294453,299734,302724,303607,306277,309380,312719,314157,315899,317390,319356,321731,324177,326939,329839,334223,335750,338057,341102,344127,347291,351084,354242,356370,356457,359202,362369,363654,367523,372346,376027,379012,381932,384750,387653,391093,393715,395749,398054,400487,402400,404467,407711,411474,412905,413590,415873,418231,419102,421624,424713,426627,428704,431194,433221,435320,437961,441477,444313,446736,448976,451781,454036,456806,460764,463311,465510,467305,467318,469426,472008,473740,474790,475968,477226,478250,478881,480065,480938,481051,481991,483044,484292,485530,486918,487441,487586,487745,488173,488675,488967,489668,490704,491863,492417,492759,492842,493210,493651,494422,495815,495992,496090,496186,496648,497146,497970,498701,499003,499021,499352,499735,500205,500393,500398,500738,500833,501022,501079,501319,501725,501734,501983,502051,502082,502083,502083
33,270820,281870,290249,297007,306878,316918,325182,334302,342455,349155,355368,363859,372058,379594,386303,393895,399959,406274,416823,428027,439244,441286,443718,454161,460909,475378,490084,504517,518069,534135,548169,554743,568228,582975,595871,609111,626335,643154,652385,654847,668678,681200,687813,692476,699363,705268,714100,723671,732506,741196,749336,761408,768633,776699,784008,791479,797761,804925,815169,820921,823019,830179,836441,844133,848348,854221,858376,864446,871796,879487,885972,894549,904078,908835,916458,924200,932166,939411,949116,958429,962445,963276,972110,980639,981519,992553,1004934,1010507,1019111,1027340,1034888,1041900,1050883,1061949,1065756,1071872,1078286,1084002,1089378,1097094,1108347,1113215,1114784,1119593,1125446,1126881,1133195,1141069,1144744,1149351,1155211,1160954,1165252,1173079,1181934,1185708,1191333,1197398,1202971,1207538,1214155,1223339,1227086,1231987,1237308,1237708,1242415,1248857,1257294,1259690,1263136,1266950,1270258,1272653,1276818,1282730,1283991,1286622,1289608,1292240,1294378,1297903,1302483,1303477,1304702,1305015,1305829,1307022,1308983,1311459,1312565,1313407,1314292,1314881,1315560,1316795,1318001,1318349,1318884,1319581,1320166,1320855,1322315,1323594,1323714,1324188,1324483,1325012,1325619,1326829,1328084,1328231,1328668,1329253,1329650,1329978,1330777,1331782,1331878,1332196,1332531,1332625,1332643,1332643
34,248734,266165,284047,298153,312971,329599,346642,362519,381168,397888,418057,437405,457060,476671,495779,512753,527689,538699,555517,572947,591714,599324,605837,626132,643767,664021,685269,708186,726218,746587,766215,777728,793084,811263,829070,845722,864017,888440,909057,915255,933941,950867,958837,962507,970727,977424,992524,1010375,1028501,1045354,1063641,1084819,1100179,1119221,1139282,1158567,1175206,1196028,1220623,1238101,1244665,1259977,1272630,1283840,1293278,1304848,1313961,1321541,1333147,1344053,1353056,1366942,1382532,1393176,1403228,1413366,1424155,1432494,1443893,1458213,1466589,1468402,1483087,1496205,1498827,1517217,1537507,1549787,1563617,1575915,1586722,1597236,1611998,1632304,1643504,1654633,1666442,1678118,1688651,1703067,1723885,1733862,1737457,1747637,1757169,1761369,1773189,1790627,1799876,1809303,1817133,1824801,1830675,1840944,1857266,1865523,1872664,1879190,1885225,1889992,1897714,1907676,1912546,1915824,1919019,1919888,1923075,1927026,1933235,1938719,1942290,1945168,1946900,1948554,1951428,1956520,1958245,1959724,1961037,1962302,1963406,1966177,1969948,1971642,1972522,1972633,1973120,1974031,1975974,1979691,1981936,1983001,1984304,1985324,1986054,1987518,1990528,1991683,1992131,1992649,1993097,1993714,1994589,1996222,1996476,1996810,1996937,1997332,1997613,1998268,1999987,2000286,2000530,2000824,2001262,2001652,2002233,2003838,2004692,2004953,2005177,2005284,2005301,2005301
35,222135,229849,235553,241914,248562,256380,264203,270530,277518,283586,289502,298523,308803,319860,328220,338016,344487,350543,359620,369769,381206,384680,387479,398295,406069,417833,430112,442819,454046,467690,480765,488208,497764,507648,516821,525762,536902,547890,555761,557932,569758,580019,583402,584948,590886,595981,600426,609595,618948,626153,634099,644529,652541,660751,669174,678146,684943,692493,704088,714187,715865,721648,728087,733932,737617,742471,745943,748788,753609,759168,764050,770278,777074,782176,787010,791586,796652,801506,807575,815980,820281,821276,825695,829880,831111,835707,843575,848279,851501,854699,857711,860503,864032,870762,875630,878230,881380,883627,886548,891200,897144,901061,901520,903956,906320,907895,910749,916034,918350,922272,925595,928409,930530,934052,939485,941327,944148,945961,948401,951004,954584,959006,963045,963678,964280,964327,964929,965795,966740,966899,967483,967900,968395,968693,969287,969999,970168,970570,971000,971321,971592,972221,972801,973234,973515,973824,974177,974323,974809,975809,976244,976506,976842,977175,977358,977907,978748,979251,979541,979786,980176,980308,980914,981563,981827,982098,982118,982403,982521,982880,983651,983696,983875,984007,984186,984279,984497,985155,985223,985472,985631,985694,985711,985711
36,118480,122239,126210,129724,132972,136753,140399,143764,146646,150286,152782,156515,160839,164941,169093,172559,175883,178920,185064,191537,198827,199652,200447,204849,208109,215634,224091,232005,238802,246276,252559,256111,261141,265244,269400,275246,280960,287260,292149,292357,295978,298598,300074,300819,301816,303178,305118,307762,311785,314700,317224,320214,323580,326516,329930,335395,340159,344085,348662,352894,353379,356986,360708,362921,364643,366418,368746,372962,377547,381974,385944,390555,394702,396720,399608,402599,405383,407669,410974,415293,417797,418366,420728,422591,423729,426619,431364,433738,435698,437783,439693,441274,442903,446056,449146,452182,455277,458499,462813,466749,470303,472458,473325,476834,480621,481217,484831,487828,489669,492546,495661,498498,500809,504432,507454,508635,510021,511163,512209,513486,515236,517594,518364,519059,519749,519769,520271,520920,522066,522282,522626,522989,523259,523466,523878,524382,524426,524591,524784,525063,525169,525565,526046,526275,526417,526425,526472,526716,527085,527642,527703,527846,528056,528143,528195,528373,528843,528869,529005,529116,529205,529262,529588,530001,530028,530110,530128,530174,530235,530473,530796,530823,530886,530965,531047,531086,531234,531419,531439,531490,531510,531547,531553,531553
37,132891,139127,144167,148383,152031,157029,162347,166652,171784,175461,178603,183112,188456,193766,198505,203124,206560,211762,215668,220077,224513,226325,227601,234176,242177,247432,252753,257263,261790,266961,273644,279514,283078,287157,291026,295466,301782,308085,312960,313429,318455,322871,324679,325474,327925,329746,334439,339189,344571,349921,355817,361194,365830,372062,378184,383959,389313,395045,402631,409614,411711,416223,420365,423738,426409,430988,434785,438704,444137,449448,453860,458666,466524,472121,475023,478685,482639,486245,490490,496495,502173,503216,508369,513575,514719,520333,526981,535533,539322,543099,546659,550104,554860,560678,563604,566780,570762,574388,578771,583341,588993,592153,592985,596241,599564,600820,604149,609475,612084,614644,618480,621834,624031,627233,631881,635652,638723,642065,644748,647093,651532,655899,659821,662384,664494,664745,666196,668625,671002,672509,673395,674475,675512,676364,678013,680135,681258,682049,683026,683826,684408,685742,687148,688280,688669,688684,688962,689364,690253,691602,692020,692488,692995,693345,693578,694034,694701,694773,694989,695265,695506,695677,696232,696808,696879,697056,697071,697248,697360,697766,698237,698245,698408,698607,698718,698864,699410,699999,700006,700153,700271,700315,700334,700334
38,164756,172898,183064,190120,198683,207284,214789,222254,229735,243301,255643,263991,271955,280156,287945,295662,309910,325809,333808,342104,350579,353104,354395,368488,383398,392678,401467,410477,419298,428730,437674,442589,449515,455961,462302,468202,474743,482086,486689,487180,493671,499216,500552,502249,506185,509511,513873,519276,523993,529070,534975,542187,546909,554293,561391,568448,574751,581880,590493,596496,597252,604193,610340,617314,621414,627443,631398,635364,642507,649334,656414,663943,671497,676200,682821,689215,695040,700711,707142,715181,720017,720565,727496,733492,734206,741085,748369,754860,759988,765942,770715,775822,781916,787374,791916,799055,806311,812955,818878,826958,833477,838385,838684,843717,847732,848862,853102,858808,862188,866726,871713,876852,881372,886389,894448,899229,902117,904989,907865,910219,913415,919105,922938,927397,932281,932446,936148,940847,945977,949434,952840,956346,959626,962626,966316,970359,972371,974740,976766,978674,979041,979890,981384,981549,982061,982088,982145,982549,983296,985432,986464,986830,986912,987098,987235,987768,988524,988602,988865,989000,989103,989216,989696,990217,990262,990414,990418,990549,990632,990991,991289,991877,992041,992133,992276,992316,992483,993085,993772,993842,993880,993890,993898,993898
39,124510,128068,130768,135864,139049,141744,144769,148115,151318,155822,160550,164603,168224,171552,174966,178646,183625,186583,190216,194245,198202,199152,199851,204793,209119,214250,219362,223494,228072,232532,237675,240485,244129,248033,252044,256312,260041,263681,267519,267619,270878,273209,274413,275422,278650,282163,284216,286256,288556,291357,294213,300354,305382,308516,312037,315233,318128,321802,327132,332078,333218,336555,339222,342632,346368,352062,356736,359630,362775,365707,368318,372221,375176,377306,379837,381959,384259,386582,389368,393878,398891,399013,401851,404607,404768,407639,411269,414895,417403,419759,421837,424504,427070,430390,433430,436395,438898,441474,443953,446747,450682,453603,454341,456330,458021,458837,461611,464940,467502,469290,470963,472812,474344,476553,478736,480198,481460,482320,483316,484079,485402,487722,488810,489609,490181,490189,490840,491794,492786,492967,493504,493818,494215,494412,495012,495669,495874,496239,496532,496849,497063,497588,498077,498200,498411,498412,498542,498708,499089,499632,499883,500098,500262,500445,500564,500826,501104,501229,501372,501488,501613,501694,501875,502098,502124,502207,502235,502351,502404,502638,502858,502858,502960,503050,503157,503233,503358,503495,503634,503706,503792,503823,503832,503832
40,653144,678648,703374,725398,745172,769429,796567,823234,845436,870793,897957,917704,941474,970186,999868,1022043,1047394,1077687,1096624,1121747,1154657,1166040,1175505,1210927,1247953,1284025,1323450,1369705,1415634,1457698,1497212,1522672,1554950,1591604,1625903,1663034,1698777,1729646,1749927,1756691,1796354,1829094,1849245,1858563,1868637,1878623,1905705,1935472,1962289,1989273,2017807,2049354,2076730,2103027,2131908,2155240,2179779,2206316,2242389,2281697,2295799,2317565,2333358,2353892,2371109,2387553,2399589,2416769,2439065,2460341,2482803,2509737,2539222,2568440,2587120,2609371,2628748,2649569,2672968,2698849,2720064,2725255,2752660,2776169,2784675,2815671,2852956,2891571,2911614,2937056,2957315,2980482,3002375,3032992,3060155,3073714,3089871,3103823,3119120,3136639,3166137,3195711,3202695,3217298,3230264,3239882,3252813,3277997,3301179,3310639,3324009,3335406,3347798,3361964,3382942,3402670,3412153,3423852,3432535,3442321,3454830,3471833,3486681,3491463,3497874,3499142,3505338,3512266,3526189,3540271,3543379,3547481,3550777,3554473,3560072,3571559,3581228,3583139,3586271,3589053,3592066,3596208,3607625,3621963,3623420,3624353,3626013,3628259,3632196,3638513,3642736,3644126,3645647,3646804,3648052,3649905,3653620,3656508,3657144,3658100,3658951,3659761,3661001,3663700,3665092,3665525,3665954,3666642,3667316,3668748,3671465,3672865,3673525,3674316,3675141,3675879,3676716,3679413,3681292,3681896,3682564,3682645,3682669,3682670
41,129924,136055,141908,146250,150398,154938,159218,163518,168249,172745,177440,181721,186588,191198,195487,199610,202514,206092,209824,213644,217901,218664,219519,223534,227435,233806,240066,245747,253471,259612,264351,267899,272771,278150,282883,287835,294023,301689,305516,306164,312077,316711,318080,318740,319047,319413,322779,326910,330514,333887,337381,341817,345678,348926,352323,355449,358379,361515,365471,369018,369557,372548,375341,378890,380402,380957,381542,384993,389322,392975,396469,400645,405167,408744,412205,416387,419322,423159,426868,430915,433832,434132,438506,442035,442575,447266,453213,456161,459342,462589,465378,468810,472498,475995,477721,480109,482598,485034,487258,490459,494778,498231,498586,501292,503629,504140,507015,510181,511821,514077,516666,518982,521074,523913,527465,531015,533198,535788,537867,539890,542862,545796,548090,549313,550553,550735,552072,553949,556327,556999,558094,559152,560048,560984,562224,563432,563713,564153,564907,565332,565880,566544,567495,568233,568589,568709,568881,569262,569739,570365,570416,570590,570921,571062,571351,571655,571963,571983,572195,572556,572790,573038,573294,573938,574191,574332,574348,574474,574620,574889,575290,575308,575374,575577,575661,575776,575907,576170,576182,576273,576382,576435,576451,576452
42,174024,182964,192273,202587,208941,216189,223056,229909,236992,244231,250335,258349,266443,274466,282189,290479,299702,311246,318538,326836,335413,339317,342418,355504,367879,379479,391856,404746,416401,427476,441904,455456,463593,474690,485659,495905,506239,516387,522563,523675,535595,545820,550454,553006,554350,556505,562937,570956,578256,584462,592204,597750,603195,610416,616930,623638,630410,637682,644223,652413,654399,659532,664058,669783,673401,675478,677218,681946,688084,693634,699260,704973,711129,719762,725079,731264,736338,741475,746720,754648,762567,764315,772244,778949,782275,790488,804632,814727,820459,825946,830701,835279,841174,847914,851507,855424,859595,864067,867988,872568,878567,883637,884227,885922,887985,888624,891626,894579,897062,899800,903109,906812,909985,913745,918781,922858,925105,927080,929074,930990,933507,938578,941566,943273,945441,945802,948454,951035,953699,955123,956313,957304,958271,959113,960537,963418,964634,965272,965951,966542,967136,968130,969723,970208,970693,970890,971147,971605,972245,973198,973991,974402,974940,975342,975831,976596,977192,977450,977705,977853,978322,978968,979297,979817,980044,980255,980290,980528,981110,981386,982046,982200,982363,982510,982794,983098,983546,984011,984142,984312,984435,984519,984533,984533
43,256583,269804,279195,284669,295194,304725,313677,322723,331890,341253,347374,358612,369634,380198,389949,399381,407077,414731,425721,437518,449947,454726,460996,471975,481091,500183,518976,537027,556128,575495,591060,600364,615988,630503,645188,659212,675102,689754,696134,700230,715623,727591,734034,739088,746805,751845,761554,771353,781039,789979,799856,809282,813676,823158,833306,842189,851616,861668,872025,877619,882100,892344,902905,914821,924442,932820,938661,946668,955392,964334,973274,982307,991671,998785,1005435,1011627,1018447,1024615,1032309,1041369,1048330,1049715,1056116,1062902,1065129,1073292,1082639,1089486,1094718,1098464,1101971,1105354,1109661,1113651,1116464,1122587,1128831,1135188,1140209,1147710,1155226,1158219,1159734,1164984,1169935,1171326,1177101,1182727,1184852,1189734,1194881,1199779,1204675,1210287,1216557,1217914,1221630,1224818,1227837,1230631,1234703,1239427,1242278,1244729,1246843,1247334,1250054,1252969,1256078,1258084,1259439,1260842,1262238,1263292,1264912,1267076,1268475,1270071,1271892,1273231,1274446,1276327,1278089,1279040,1279933,1279966,1280292,1281163,1282664,1283720,1283858,1284596,1285409,1285662,1285899,1286354,1286685,1286756,1286949,1287158,1287358,1287601,1287875,1288278,1288353,1288451,1289318,1290071,1290683,1291544,1292665,1292935,1293260,1293530,1293772,1294075,1294342,1294737,1294962,1295195,1295222,1295231,1295235,1295235
44,160435,168410,174322,179073,184946,190774,196652,202386,208364,213092,219002,225434,231665,237891,244284,250168,255535,261116,268265,276003,283775,285953,287627,294891,299668,309288,318769,327909,335878,345704,353072,357318,364789,372831,380068,386825,395450,403027,408612,409437,416567,423179,425513,426693,429582,432360,437343,442423,447259,451714,457125,463605,468681,473233,477541,481678,486089,491032,499689,504492,505910,510461,514164,519332,521862,524307,526538,530835,535883,540606,545346,550212,556062,558142,562659,567119,571348,575879,581261,585881,587837,588362,594272,599768,601073,608340,616409,621710,627390,632533,636984,641890,646757,652765,657644,662990,668555,673866,678936,685418,691397,696519,698760,703708,708269,710282,715465,720482,723420,727797,732338,736373,740361,745138,749737,751828,755486,758641,761701,763710,767428,771235,772933,775299,777361,777910,779747,782711,785961,787448,789334,790573,792161,793200,795684,798483,799837,801081,802232,803385,804327,806077,808023,808947,809747,810164,810489,810887,811844,812707,813293,813819,814148,814577,814793,815162,815525,815782,815980,816280,816551,816737,817123,817492,817718,817859,817982,818163,818389,818756,819094,819352,819478,819604,819800,819914,820195,820440,820586,820607,820659,820691,820697,820697
45,153338,158762,163080,169519,173683,178397,183143,188079,192679,196092,199510,204782,210417,217448,222487,227332,232486,238360,242750,247847,254737,256717,257680,263080,269203,275979,283258,293380,301743,308169,316413,324181,329477,335578,342274,348639,354895,361639,369173,369780,375708,380854,382853,383829,386066,389322,392775,396894,400800,404462,408814,412663,415660,420336,425311,430541,435506,440140,444997,447750,448359,451703,455684,460891,463145,466299,469302,473979,479202,485749,492087,497966,503717,508963,512954,517935,522758,527874,533853,539202,544995,545479,551710,557631,558675,566394,575199,582717,587017,592101,596347,601775,607017,613536,617906,622568,627743,632103,637602,643554,651853,655489,656252,660197,664604,666680,670819,675341,678496,682732,687002,691692,696943,700679,706981,712468,715508,718534,722318,725517,728889,732676,735834,738501,741415,742391,744809,747748,751375,751879,753193,754622,755765,757001,758423,760156,760474,761798,762965,763938,765012,766238,767580,767874,768225,768270,768536,768985,769518,770172,770440,770766,771273,771540,771705,772057,772535,772568,772830,773097,773309,773499,773850,774090,774309,774529,774589,774820,775078,775393,775677,775841,776078,776405,776688,776994,777205,777433,777587,777746,777872,777906,777909,777910
46,205457,215974,223489,229370,239667,250153,259477,268514,277555,284120,290530,300319,309706,319102,328278,337610,346145,355627,365927,376932,388419,392377,396272,405092,413267,426093,438848,450929,463490,477147,487410,493554,502980,513375,523017,532619,543018,551272,556060,558347,569062,577377,581090,583532,587060,588164,595866,604083,611305,617778,625958,634241,638820,646145,653650,659877,665699,673287,680920,685666,687652,693462,698717,704380,708594,711030,711809,719759,728053,736161,743886,753134,761161,764754,773170,782152,790438,798918,809649,819192,824518,825380,836465,846387,847901,860961,873765,880313,888661,897386,904772,911892,920268,930155,937278,943951,950763,957166,963360,970574,978734,982702,985268,991121,996945,999684,1005719,1012569,1018218,1024125,1029831,1035941,1041278,1048349,1055255,1057859,1063155,1068719,1073650,1078338,1084301,1089635,1090985,1095137,1099427,1099771,1103582,1108306,1112254,1113196,1116283,1119509,1122149,1124526,1127949,1131177,1131736,1134259,1136557,1138667,1140288,1143139,1145428,1146386,1148286,1148483,1149762,1151017,1153304,1155310,1155769,1157141,1158644,1158977,1159198,1159546,1160403,1160622,1160874,1161104,1161422,1161614,1161888,1162344,1162437,1162730,1162802,1163153,1163432,1163819,1164346,1164453,1164623,1164831,1165127,1165327,1165562,1165928,1166191,1166440,1166728,1166776,1166783,1166783
47,117731,121805,128074,134941,139140,144099,150862,156679,162104,168663,174862,179834,185531,191833,200359,205618,211670,218826,223813,228718,232062,237814,241724,251504,258932,265054,271403,280896,289058,295517,306532,317558,322502,328409,336901,345407,352132,363909,374453,375654,383756,389410,394985,399691,410994,421403,427175,434146,441587,448343,453296,461542,468154,474203,480868,489866,500014,507260,517447,527412,529356,535083,544130,552209,558300,568374,576390,580069,584919,592235,599805,604831,611833,616366,619571,624543,631308,636539,641590,650505,656131,657045,663089,669956,675011,679987,690109,700285,704235,710502,718728,726705,733451,748892,761063,765701,772410,780944,789178,795520,808958,820342,822297,826933,833079,836177,841161,850294,857309,859792,862988,867399,871310,874326,881523,885718,887210,889282,892075,894255,896383,901613,903810,905191,906658,907658,909271,911202,914839,916511,917582,918548,919951,921191,922705,925887,927084,927988,929108,930185,931008,932646,935399,936452,937019,937117,937450,937850,939290,941507,941971,942549,943683,944182,944444,945164,946074,946403,946623,946813,947046,947249,947674,948558,948586,948825,948887,949152,949336,949893,950984,951073,951314,951497,951678,951810,952148,952561,952609,952873,953194,953317,953365,953365
